id;title;hotelstars;timezone;price;duration;climate;country;countryId;temperatura;landscape;type;transport
247;Włoski Niezbędnik;3;1;1075;2;Śródziemnomorski;Włochy;13;27;8;2;2
248;Zawsze niech będzie słońce;3;1;2989;8;Kontynentalny;Hiszpania;14;32;3;2;3
249;Ziemia Obiecana;3;2;2999;8;Pustynny;Izrael;23;32;9;2;3
250;Świąteczne jarmarki nad Dunajem;3;1;798;3;Kontynentalny;Austria;3;26;9;2;3
251;Przy dzwiekach walca;3;1;1569;3;Kontynentalny;Austria;3;26;9;2;3
252;Minsk i polskie Kresy;3;3;1606;4;Kontynentalny;Białoruś;5;22;8;2;3
253;Hacienda Beach;3;2;1869;5;Kontynentalny;Bułgaria;9;30;7;2;2
254;Najlepsze z Chorwacji;3;1;3761;12;Śródziemnomorski;Chorwacja;12;30;2;2;3
255;Na północ od Bangkoku;3;7;6839;16;Monsunowy;Tajlandia;33;31;2;2;3
256;W Alpejskim stylu;3;1;1671;6;Kontynentalny;Austria;3;26;8;2;2
257;Praga Express;3;1;700;2;Kontynentalny;Czechy;6;25;9;2;2
258;Czeskie Impresje;3;1;850;2;Kontynentalny;Czechy;6;25;9;2;2
259;Potega Poludnia;3;2;1630;4;Śródziemnomorski;Egipt;21;28;1;2;3
260;Paris, Paris…;3;1;1198;6;Kontynentalny;Francja;11;25;9;2;3
261;Wycieczka na Lazurowe Wybrzeże;3;1;1198;6;Kontynentalny;Francja;11;25;3;2;3
262;Wiosna w Prowansji;3;1;1498;6;Kontynentalny;Francja;11;25;9;2;3
263;Islas Bonitas;3;1;4769;8;Kontynentalny;Hiszpania;14;32;3;2;3
264;Śródziemnomorska księżniczka;3;1;1999;8;Śródziemnomorski;Malta;20;29;3;2;3
265;Maltańskie trojaczki;3;1;1999;8;Śródziemnomorski;Malta;20;29;3;2;3
266;Bożonarodzeniowe Jarmarki;3;1;828;3;Morski;Niemcy;2;23;9;2;3
267;Sankt Petersburg;3;3;2999;5;Kontynentalny;Rosja;10;21;9;2;3
268;Rosyjska zima;3;3;4989;7;Kontynentalny;Rosja;10;21;9;2;3
269;Szlakiem hrabiego Drakuli;3;2;941;2;Kontynentalny;Rumunia;7;27;8;2;2
270;W orientalny deseń;3;7;5679;14;Monsunowy;Tajlandia;33;31;2;2;3
271;Bambusowe łodzie Złotego Buddy;3;7;5640;16;Monsunowy;Tajlandia;33;31;2;2;3
272;Smak Orientu;3;3;1741;4;Kontynentalny;Turcja;16;31;2;2;3
273;Wyprawa po słońce;3;1;1198;7;Śródziemnomorski;Włochy;13;27;9;2;3
274;Gorący Neapol;3;1;1598;8;Śródziemnomorski;Włochy;13;27;9;2;3
275;Wenecja;3;1;1989;4;Śródziemnomorski;Włochy;13;27;9;2;3
276;Pod sloncem Kampanii;3;1;2121;8;Śródziemnomorski;Włochy;13;27;8;2;3
277;Spacer po mieście Nesebyr;3;2;2270;13;Kontynentalny;Bułgaria;9;30;7;2;3
278;Hotel Grand Blue Fafa;5;2;4289;8;Śródziemnomorski;Albania;17;29;3;1;3
279;Hotel Grand Blue Fafa;5;2;7229;15;Śródziemnomorski;Albania;17;29;3;1;3
280;Hotel Andon Lapa;4;2;2259;8;Śródziemnomorski;Albania;17;29;3;1;3
281;Perly Albanii;3;1;2630;9;Śródziemnomorski;Albania;17;29;2;2;3
282;Hotel Hubertus;3;1;1439;6;Kontynentalny;Austria;3;26;7;3;1
283;Hotel Kolmhof;4;1;2059;6;Kontynentalny;Austria;3;26;7;3;1
284;Z widokiem na Czarnobyl;3;3;1862;6;Kontynentalny;Białoruś;5;22;8;2;3
285;Primorsko Del Sol;4;2;2215;8;Kontynentalny;Bułgaria;9;30;2;1;3
286;Południowa Bułgaria;3;2;1790;8;Kontynentalny;Bułgaria;9;30;7;2;3
287;Czeski dwutakt;3;1;898;4;Kontynentalny;Czechy;6;25;9;2;3
288;Hotel Barceló Castillo Beach Resort;4;1;3199;8;Kontynentalny;Hiszpania;14;32;2;1;3
