id;title;hotelstars;timezone;price;duration;climate;country;countryId;temperatura;landscape;type;transport
144;Hotel Uroa Bay Beach Resort;4;3;3299;8;Kontynentalny;Tanzania;27;28;2;1;3
145;Hotel Oasis Atlantico Belorizonte;5;-1;2799;8;Morski;Wyspy Zielonego Przylądka;24;29;2;1;3
146;Hotel Hilton Marsa Alam Nubian Resort;5;2;2849;8;Śródziemnomorski;Egipt;21;28;2;1;3
147;Hotel Fuerteventura Princess;4;1;3069;8;Kontynentalny;Hiszpania;14;32;2;1;3
148;Hotel Centara Grand Beach Resort & Villas Krabi;5;7;5569;8;Monsunowy;Tajlandia;33;31;2;1;3
149;Hotel Sea View Lodge;4;3;4669;8;Kontynentalny;Tanzania;27;28;2;1;3
150;Hotel Vikingen Infinity Resort & Spa;5;3;2059;6;Kontynentalny;Turcja;16;31;2;1;3
151;Kassandra Palace Hotel & Spa;5;2;2749;6;Śródziemnomorski;Grecja;15;31;2;1;3
152;Hotel Taoro Garden;4;1;2199;8;Kontynentalny;Hiszpania;14;32;2;1;3
153;Hotel Uroa Bay Beach Resort;4;3;4699;7;Kontynentalny;Tanzania;27;28;2;1;3
154;Hotel Strand Taba Heights Beach & Golf Resort;5;2;2099;7;Śródziemnomorski;Egipt;21;28;2;1;3
155;Hotel Jaz Aquamarine Resort;5;2;2749;8;Śródziemnomorski;Egipt;21;28;2;1;3
156;Hotel Meliá Sierra Nevada;4;1;3219;8;Kontynentalny;Hiszpania;14;32;7;3;3
