id,title,hotelstars,timezone,price,duration,climate,country,countryId,temperatura,landscape,type,transport,cluster
243,Rzymskie wakacje,0.25,0.5714285714285714,0.09596050269299822,0.35714285714285715,Śródziemnomorski,Włochy,0.375,0.2857142857142856,1.0,0.5,1.0,8
244,Saluti Roma,0.25,0.5714285714285714,0.17809694793536807,0.42857142857142855,Śródziemnomorski,Włochy,0.375,0.2857142857142856,0.875,0.5,1.0,8
245,Wlochy klasyczne,0.25,0.5714285714285714,0.1391382405745063,0.2857142857142857,Śródziemnomorski,Włochy,0.375,0.2857142857142856,0.875,0.5,0.5,9
246,Toskania My Love,0.25,0.5714285714285714,0.13285457809694795,0.2857142857142857,Śródziemnomorski,Włochy,0.375,0.2857142857142856,0.875,0.5,0.5,9
247,Włoski Niezbędnik,0.25,0.5714285714285714,0.08491921005385997,0.0,Śródziemnomorski,Włochy,0.375,0.2857142857142856,0.875,0.5,0.5,9
248,Zawsze niech będzie słońce,0.25,0.5714285714285714,0.25673249551166966,0.42857142857142855,Kontynentalny,Hiszpania,0.40625,0.5238095238095237,0.25,0.5,1.0,18
249,Ziemia Obiecana,0.25,0.6428571428571428,0.25763016157989227,0.42857142857142855,Pustynny,Izrael,0.6875,0.5238095238095237,1.0,0.5,1.0,8
250,Świąteczne jarmarki nad Dunajem,0.25,0.5714285714285714,0.060053859964093355,0.07142857142857142,Kontynentalny,Austria,0.0625,0.23809523809523814,1.0,0.5,1.0,8
251,Przy dzwiekach walca,0.25,0.5714285714285714,0.12926391382405747,0.07142857142857142,Kontynentalny,Austria,0.0625,0.23809523809523814,1.0,0.5,1.0,8
252,Minsk i polskie Kresy,0.25,0.7142857142857143,0.13258527827648117,0.14285714285714285,Kontynentalny,Białoruś,0.125,0.04761904761904745,0.875,0.5,1.0,8
253,Hacienda Beach,0.25,0.6428571428571428,0.1561938958707361,0.21428571428571425,Kontynentalny,Bułgaria,0.25,0.4285714285714284,0.75,0.5,0.5,9
254,Najlepsze z Chorwacji,0.25,0.5714285714285714,0.326032315978456,0.7142857142857142,Śródziemnomorski,Chorwacja,0.34375,0.4285714285714284,0.125,0.5,1.0,18
255,Na północ od Bangkoku,0.25,1.0,0.6023339317773788,1.0,Monsunowy,Tajlandia,1.0,0.47619047619047605,0.125,0.5,1.0,16
256,W Alpejskim stylu,0.25,0.5714285714285714,0.13842010771992821,0.2857142857142857,Kontynentalny,Austria,0.0625,0.23809523809523814,0.875,0.5,0.5,9
257,Praga Express,0.25,0.5714285714285714,0.05125673249551168,0.0,Kontynentalny,Czechy,0.15625,0.19047619047619047,1.0,0.5,0.5,9
258,Czeskie Impresje,0.25,0.5714285714285714,0.064721723518851,0.0,Kontynentalny,Czechy,0.15625,0.19047619047619047,1.0,0.5,0.5,9
